WORDNO,WORD
1,"katekizmas"
2,"arba"
3,"mokslas"
4,"kiekvienam"
5,"krikščioniui"
6,"privalus"
7,"."
8,"parašytas"
9,"d."
10,"Jokūbą"
11,"Ledesmą"
12,"teologą"
13,"societatis"
14,"Jesu"
15,"."
16,"išguldytas"
17,"iš"
18,"liežuvio"
19,"lenkiško"
20,"į"
21,"gi"
22,"lietuvišką"
23,"per"
24,"Mikalojų"
25,"Daukšą"
26,"kanoniką"
27,"Žemaičių"
28,"."
29,"išspaustas"
30,"Vilniuje"
31,"metuose"
32,"užgimimo"
33,"Viešpaties"
34,"1595"
35,"-"
36,"Ps"
37,"112"
38,"-"
39,"liaupsinkite"
40,"vaikeliai"
41,"Viešpatį"
42,"savą"
43,"-"
44,"liaupsinkite"
45,"šventą"
46,"vardą"
47,"jo"
48,"vardas"
49,"Viešpaties"
50,"nuo"
51,"gi"
52,"šio"
53,"karto"
54,"ir"
55,"ant"
56,"amžių"
57,"."
58,"skaitytojop"
59,"krikščioniškop"
60,"."
61,"kačeiba"
62,"kiekvienam"
63,"krikščioniui"
64,","
65,"kurios"
66,"norint"
67,"vasaros"
68,"privalus"
69,"mokslas"
70,"apie"
71,"Viešpatį"
72,"Dievą"
73,"-"
74,"ir"
75,"gamtas"
76,"-"
77,"ir"
78,"priderėjimą"
79,"krikščionišką"
80,"-"
81,"bet"
82,"vienok"
83,"privaliausias"
84,"yra"
85,"vaikeliams"
86,"-"
87,"ne"
88,"kitaip"
89,"atžuliloms"
90,"jaunoms"
91,"lietus"
92,"ir"
93,"laistymas"
94,","
95,"idant"
96,"tuo"
97,"geriau"
98,"prisiimtų"
99,"-"
100,"ir"
101,"augtų"
102,"."
103,"nesa"
104,"kaip"
105,"tokių"
106,"jaunystė"
107,"pigai"
108,"ant"
109,"pikto"
110,"pagrįžti"
111,"gali"
112,"-"
113,"taip"
114,"vėl"
115,"nei"
116,"vienas"
117,"amžis"
118,"ne"
119,"esti"
120,"taip"
121,"apturėjimo"
122,"malonės"
123,"Dievo"
124,"-"
125,"ir"
126,"gamtų"
127,"krikščioniškų"
128,"-"
129,"kaip"
130,"vaikelis"
131,"jaunos"
132,"vasaros"
133,"-"
134,"su"
135,"nekaltybe"
136,"sujungtos"
137,"-"
138,"ne"
139,"mažiau"
140,"kaip"
141,"ir"
142,"dirva"
143,"naujai"
144,"užrausta"
145,"-"
146,"kad"
147,"ją"
148,"sėklą"
149,"priėmusi"
150,"-"
151,"gausų"
152,"vaisių"
153,"iš"
154,"save"
155,"duost"
156,"."
157,"ir"
158,"dėl"
159,"to"
160,"Viešpats"
161,"mūsų"
162,"reiškiai"
163,"teikėsi"
164,"matt."
165,"19"
166,"."
167,"14"
168,"."
169,"marr."
170,"10"
171,"13"
172,"."
173,"lucc."
174,"18"
175,"."
176,"15"
177,"."
178,"byloti"
179,"-"
180,"daleiskit"
181,"vaikeliams"
182,"ir"
183,"ne"
184,"drauskit"
185,"jų"
186,"manęsp"
187,"eiti"
188,"-"
189,"tokių"
190,"esti"
