WORD,POS
"***",***
",",-
"-",-
".",-
"?",-
"???",???
"}",***
"¶",***
"’",***
"→",***
"1",-
"10",-
"10",10
"1",1
"11",-
"11",11
"112",112
"12",12
"13",-
"14",-
"14",14
"15",-
"15",15
"1595",1595
"18",-
"18",18
"19",-
"2",-
"2",2
"28",28
"3",-
"32",32
"3",3
"34",-
"34",34
"4",4
"5",-
"5",5
"57",57
"6",-
"6",6
"7",-
"7",7
"8",-
"8",8
"9",-
"9",9
"abeja",CARD
"abejetu",CARD
"abejojančiam",V
"abejojimas",NA
"abejojimo",NA
"Abromo",NT
"abrozas",NA
"abrozo",NA
"abu",CARD
"abydą",NA
"abydas",NA
"Adomas",NT
"afiera",NA
"afieravoja",V
"afierų",NA
"akimi",NA
"akimis",NA
"akims",NA
"akis",NA
"akių",NA
"aklatį",NA
"aklieji",ADJ
"aklystė",NA
"Akvino",NT
"akyse",NA
"algame",V
"alga",NA
"alga",V
"algodami",V
"algos",NA
"algoti",V
"aliejų",NA
"alkaną",ADJ
"alkanų",ADJ
"alkanumą",NA
"alkintis",V
"alksta",V
"alkus",NA
"alpstantį",V
"altoriaus",NA
"alvu",NA
"amen",PTK
"amžina",ADJ
"amžiną",ADJ
"amžinai",ADV
"amžinas",ADJ
"amžinasis",ADJ
"amžino",ADJ
"amžinoji",ADJ
"amžinos",ADJ
"amžinose",ADJ
"amžinų",ADJ
"amžinume",NA
"amžio",NA
"amžis",NA
"amžių",NA
"aname",PD
"aną",PD
"anas",PD
"anas",PPER
"angelai",NA
"angelams",NA
"angelas",NA
"angelo",NA
"angelui",NA
"angelų",NA
"anie",PD
"anie",PPER
"anksti",ADV
"anksto",ADJ
"anoje",PD
"anoji",PD
"ano",PD
"anopi",PD
"ano",PPER
"anospi",PPER
"anos",PPER
"ant",AP
"antra",ADJO
"antrą",ADJO
"antram",ADJO
"antras",ADJO
"antri",ADJO
"antro",ADJO
"antroje",ADJO
"antros",ADJO
"antru",ADJO
"anumpi",PD
"anuo",PD
"anuos",PD
"anų",PD
"apaštalai",NA
"apaštalas",NA
"apaštalų",NA
"apaštalus",NA
"apčystijančia",V
"apgaišta",V
"apgaudami",V
"apgintas",V
"apgręžėte",V
"apgręžė",V
"apgręžk",V
"apgręžti",V
"apgrįžtų",V
"apgynęs",V
"apgynimas",NA
"apgynimo",NA
"apgynimu",NA
"apiblėsčiau",V
"apie",AP
"apkabinti",V
"apkalbėdami",V
"apkalbėti",V
"apkuopdavai",V
"apleidime",NA
"apleidimo",NA
"apleidimus",NA
"apleisk",V
"apleisti",V
"apleis",V
"aplenkdami",V
"aplink",AP
"apmaišytas",V
"apmaudavo",V
"apmauduoja",V
"apmauduose",NA
"apmazgojimo",NA
"apmazgoti",V
"aprašytas",V
"apreikšdami",V
"apreiškė",V
"aprėptos",V
"aprikimus",NA
"aprinko",V
"aprinkti",V
"apsaugojimo",NA
"apsikabinėja",V
"apsikrikštijęs",V
"apsirijimas",NA
"apsirikimus",NA
"apsirūstavai",V
"apsirūstinsi",V
"apsituri",V
"apsivilkdami",V
"apskritumu",NA
"apslėptų",V
"apsūdytų",V
"apsunkinau",V
"apsunkintas",V
"apsunkinti",V
